1,39.0, 26017, 0.607363, 3525
1,-98.0, 10842, 0.48205948, 875
2,12.0, 5673, 0.15959153, 1400
2,36.0, 10437, 0.2936113, 2175
2,39.0, 12706, 0.35744226, 1925
2,-96.0, 722, 0.6283725, 112
3,23.0, 4192, 0.22136559, 575
3,39.0, 13157, 0.6947774, 1475
3,-80.0, 10074, 0.62482166, 725
4,36.0, 178, 0.13928013, 41
4,39.0, 255, 0.19953051, 72
4,43.0, 154, 0.12050078, 45
4,-94.0, 544, 0.4026647, 100
5,27.0, 13088, 0.13370655, 2200
5,37.0, 9971, 0.10186339, 1675
5,-97.0, 12421, 0.57507294, 950
6,27.0, 967, 0.20217437, 275
6,39.0, 484, 0.10119172, 109
7,27.0, 845, 0.15089285, 225
8,27.0, 125, 0.2076412, 42
8,51.0, 61, 0.1013289, 37
8,-72.0, 24, 0.30379745, 24
9,36.0, 2017, 0.21233813, 550
9,39.0, 3796, 0.399621, 675
9,-95.0, 166, 0.24665675, 63
10,40.0, 20534, 0.7970964, 1450
10,-26.0, 358, 0.33869442, 74
